epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6459,1.39994,3.02003,1.92054,0.00586,1,0.64143,0.29746,1.43084,3.92279,2.39954,0.00013336,0.00013336,0.00013336
2,38.5248,1.23816,2.45863,1.7648,0.00586,0.875,0.49892,0.27994,1.53779,4.05095,2.37621,0.000274038,0.000274038,0.000274038
3,59.7376,1.25082,2.00337,1.77099,0.00701,0.875,0.41473,0.23957,1.60517,3.92157,2.35299,0.000404814,0.000404814,0.000404814
4,77.1732,1.1752,1.74508,1.66943,0.00708,0.875,0.418,0.21762,1.45504,3.94509,2.2454,0.000525688,0.000525688,0.000525688
