epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,704.173,0.94984,1.00026,1.35753,0.77744,0.87346,0.79368,0.33546,2.00987,1.98336,2.60885,0.000511769,0.000511769,0.000511769
44,721.007,0.81522,0.95737,1.344,0.70967,0.625,0.66066,0.33975,1.93367,2.03802,2.53655,0.000484263,0.000484263,0.000484263
45,740.668,0.79879,0.87168,1.28904,0.68685,0.625,0.66471,0.36042,1.95189,1.9914,2.56058,0.000456758,0.000456758,0.000456758
46,756.64,0.85042,0.94878,1.34935,0.71123,0.625,0.63695,0.38167,1.89996,1.91856,2.55278,0.000429253,0.000429253,0.000429253
47,772.3,0.81187,0.89979,1.36452,0.82547,0.625,0.69836,0.41621,1.85791,1.90366,2.51309,0.000401747,0.000401747,0.000401747
48,787.857,0.84835,0.89126,1.30993,0.89442,0.625,0.73601,0.46205,1.82704,1.78896,2.51721,0.000374242,0.000374242,0.000374242
49,803.392,0.78926,0.97919,1.29449,0.73648,0.75,0.79819,0.45667,1.85612,1.73007,2.59301,0.000346736,0.000346736,0.000346736
50,819.407,0.84639,0.90686,1.32827,0.68612,0.875,0.78479,0.477,1.8599,1.62351,2.63351,0.000319231,0.000319231,0.000319231
51,835.927,0.78817,1.49324,1.41073,0.74271,0.75,0.75876,0.47205,1.76964,1.56377,2.58997,0.000291725,0.000291725,0.000291725
52,851.608,0.83003,1.40333,1.45894,0.66082,0.75,0.64325,0.39417,1.8227,1.62395,2.73512,0.00026422,0.00026422,0.00026422
53,867.086,0.68812,1.2009,1.34677,0.73518,0.75,0.63536,0.3792,1.86635,1.75969,2.8123,0.000236714,0.000236714,0.000236714
54,883.227,0.81561,1.25313,1.43983,0.7405,0.75,0.63635,0.35759,1.91159,1.92911,2.88899,0.000209209,0.000209209,0.000209209
55,898.289,0.84468,1.22673,1.59128,0.73954,0.75,0.59268,0.32838,1.89869,2.02923,2.9461,0.000181703,0.000181703,0.000181703
56,913.481,0.76725,1.19848,1.4676,0.73613,0.75,0.56162,0.31381,1.89152,1.90831,2.91737,0.000154198,0.000154198,0.000154198
57,928.807,0.66676,1.16443,1.3069,0.73402,0.75,0.56417,0.3056,1.79227,1.73639,2.77987,0.000126692,0.000126692,0.000126692
58,944.305,0.63135,1.07803,1.33945,0.73556,0.75,0.59667,0.33543,1.73582,1.65061,2.69268,9.91865e-05,9.91865e-05,9.91865e-05
59,959.824,0.72164,1.12693,1.37236,0.74687,0.75,0.61102,0.35716,1.64318,1.59083,2.55822,7.1681e-05,7.1681e-05,7.1681e-05
60,975.038,0.59188,1.03594,1.2973,0.74866,0.74532,0.64383,0.38409,1.59999,1.56385,2.53001,4.41755e-05,4.41755e-05,4.41755e-05
