epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5421,1.39994,3.02003,1.92054,0.00586,1,0.64143,0.29746,1.43084,3.92279,2.39954,0.00013336,0.00013336,0.00013336
2,32.8686,1.23816,2.45863,1.7648,0.00586,0.875,0.49892,0.27994,1.53779,4.05095,2.37621,0.000274038,0.000274038,0.000274038
3,49.826,1.25082,2.00337,1.77099,0.00701,0.875,0.41473,0.23957,1.60517,3.92157,2.35299,0.000404814,0.000404814,0.000404814
4,67.877,1.1752,1.74508,1.66943,0.00708,0.875,0.418,0.21762,1.45504,3.94509,2.2454,0.000525688,0.000525688,0.000525688
5,85.7266,1.16942,1.63845,1.66893,0.754,0.385,0.66624,0.34072,1.77306,3.69532,2.51885,0.000636661,0.000636661,0.000636661
6,103.237,1.12324,1.55136,1.59452,0.72813,0.75,0.73493,0.26884,2.20825,3.47293,2.84349,0.000737731,0.000737731,0.000737731
7,123.842,1.16482,1.59933,1.58464,0.75114,0.875,0.82981,0.31255,1.94713,3.23715,2.79736,0.000828899,0.000828899,0.000828899
8,138.886,1.14635,1.51677,1.60478,0.64276,0.625,0.65045,0.27962,2.20883,3.02687,3.44417,0.000910165,0.000910165,0.000910165
9,154.698,1.17241,1.46138,1.66348,0.76659,0.625,0.67558,0.23926,2.54903,3.09165,3.70849,0.00098153,0.00098153,0.00098153
10,169.972,1.17607,1.50604,1.61886,0.80563,0.625,0.63959,0.28746,2.24969,3.37363,3.05796,0.00104299,0.00104299,0.00104299
11,188.013,1.1958,1.58228,1.69241,0.16741,0.5,0.12569,0.03537,3.13988,4.80155,3.69607,0.00109455,0.00109455,0.00109455
12,204.14,1.15313,1.38132,1.55282,0.41102,0.75,0.46936,0.16032,2.56695,3.91702,3.11976,0.00106188,0.00106188,0.00106188
13,219.402,1.12669,1.46646,1.59298,0.8022,0.625,0.55794,0.26586,1.91903,3.9015,2.88778,0.00100687,0.00100687,0.00100687
14,235.259,1.12,1.43004,1.59127,0.75922,0.625,0.54933,0.27139,2.17966,3.62091,3.24456,0.000951857,0.000951857,0.000951857
15,253.589,1.06866,1.50215,1.58991,0.75829,0.625,0.61067,0.3306,2.0233,3.31591,2.95032,0.000896846,0.000896846,0.000896846
16,269.537,1.14309,1.37488,1.58008,0.86766,0.82365,0.84413,0.40653,1.82973,2.67266,2.62411,0.000841835,0.000841835,0.000841835
17,286.148,1.04128,1.27018,1.50926,1,0.85558,0.87542,0.44818,1.85501,2.4099,2.4756,0.000786824,0.000786824,0.000786824
18,303.666,1.13374,1.63043,1.5925,1,0.71149,0.82129,0.35039,2.08972,2.47274,2.76613,0.000731813,0.000731813,0.000731813
19,319.723,1.12413,1.45456,1.58529,0.6756,0.5,0.64605,0.30759,2.32453,2.55198,2.96689,0.000676802,0.000676802,0.000676802
20,344.929,1.06735,1.35067,1.54234,0.94166,0.5,0.65944,0.30519,2.22615,2.54983,2.86307,0.000621791,0.000621791,0.000621791
21,361.867,1.39214,2.38103,1.98935,0.8672,0.5,0.6483,0.35194,1.81748,2.62283,2.84384,0.00056678,0.00056678,0.00056678
22,377.747,1.09032,2.18885,1.77703,0.4973,0.5,0.497,0.26934,2.07571,2.85493,3.3795,0.000511769,0.000511769,0.000511769
23,394.395,1.04087,1.96476,1.83278,0.66425,0.49547,0.47972,0.24045,1.98091,2.83097,3.39231,0.000456758,0.000456758,0.000456758
24,412.565,1.05188,1.91081,1.78919,0.6143,0.625,0.56933,0.26911,1.88304,2.78096,3.12614,0.000401747,0.000401747,0.000401747
25,429.145,0.96765,1.75997,1.73484,0.62575,0.75,0.63182,0.32193,2.00091,2.64315,2.73937,0.000346736,0.000346736,0.000346736
26,444.454,0.92038,1.74834,1.69671,0.73657,0.75,0.62732,0.33561,1.87328,2.62262,2.4638,0.000291725,0.000291725,0.000291725
27,460.455,0.88642,1.67658,1.6511,0.73569,0.75,0.6295,0.34332,1.76302,2.58401,2.42359,0.000236714,0.000236714,0.000236714
28,475.393,0.93277,1.69537,1.69289,0.73647,0.75,0.62731,0.32562,1.73259,2.55221,2.43228,0.000181703,0.000181703,0.000181703
29,491.564,0.90451,1.57508,1.66848,0.73453,0.75,0.62187,0.32524,1.73557,2.53506,2.44662,0.000126692,0.000126692,0.000126692
30,506.645,0.93294,1.66338,1.59455,0.7345,0.75,0.62352,0.32692,1.74056,2.46767,2.41971,7.1681e-05,7.1681e-05,7.1681e-05
